modelo,enc,imp,norm,sel,n_runs,rmse_mean,rmse_std,mae_mean,mae_std,mape_mean,mape_std,r2_mean,r2_std,status
LinearRegression,onehot,interpolacao,,selectfrommodel,1,0.7754388904230378,0.0,0.5987985210180413,0.0,0.14538684818959002,0.0,0.5800504428987514,0.0,ok
SVR,ordinal,mediana,quantile,selectfrommodel,1,0.7834080577536389,0.0,0.5710847777863267,0.0,0.13761648245645966,0.0,0.6638589400014314,0.0,ok
DecisionTree,ordinal,interpolacao,,selectfrommodel,1,0.8094142766735717,0.0,0.6551059427039578,0.0,0.15978432735589926,0.0,0.4287328383568617,0.0,ok
LinearRegression,ordinal,interpolacao,,,1,0.896815049946232,0.0,0.6777931324756243,0.0,0.16044161930968387,0.0,0.4026862606257381,0.0,ok
LinearRegression,ordinal,interpolacao,,selectkbest,1,0.896815049946232,0.0,0.6777931324756243,0.0,0.16044161930968387,0.0,0.4026862606257381,0.0,ok
LinearRegression,ordinal,interpolacao,,selectfrommodel,1,0.9189135763435949,0.0,0.7059430353719989,0.0,0.17225097138304496,0.0,0.3133182708028076,0.0,ok
LinearRegression,ordinal,mediana,,selectfrommodel,1,0.9792011868868734,0.0,0.753464157015539,0.0,0.1791610428089672,0.0,0.2593169354878578,0.0,ok
LinearRegression,ordinal,mediana,,selectkbest,1,1.0111293770060985,0.0,0.7899379514270864,0.0,0.19033944661454075,0.0,0.22428732108018776,0.0,ok
LinearRegression,ordinal,mediana,,,1,1.0111293770060985,0.0,0.7899379514270864,0.0,0.19033944661454075,0.0,0.22428732108018776,0.0,ok
MLP,onehot,interpolacao,robust,,5,,,,,,,,,ok
MLP,onehot,interpolacao,minmax,,5,,,,,,,,,ok
MLP,onehot,interpolacao,quantile,,5,,,,,,,,,ok
MLP,ordinal,interpolacao,robust,selectkbest,5,,,,,,,,,ok
MLP,ordinal,interpolacao,robust,,5,,,,,,,,,ok
MLP,ordinal,interpolacao,minmax,selectkbest,5,,,,,,,,,ok
MLP,ordinal,interpolacao,minmax,,5,,,,,,,,,ok
MLP,ordinal,interpolacao,quantile,selectkbest,5,,,,,,,,,ok
MLP,ordinal,interpolacao,quantile,,5,,,,,,,,,ok
